timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1682453222037,920,firstConfigRequest,200,OK,firstConfig 1-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=1,920,0,1
1682453222038,920,secondConfigRequest,200,OK,secondConfig 2-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=2,920,0,0
1682453222039,921,thirdConfigRequest,200,OK,thirdConfig 3-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=3,921,0,0
1682453223537,909,secondConfigRequest,200,OK,secondConfig 2-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=2,909,0,0
1682453223538,910,firstConfigRequest,200,OK,firstConfig 1-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=1,910,0,0
1682453223539,912,thirdConfigRequest,200,OK,thirdConfig 3-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=3,912,0,0
1682453225036,914,firstConfigRequest,200,OK,firstConfig 1-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=1,914,0,0
1682453225039,911,thirdConfigRequest,200,OK,thirdConfig 3-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=3,911,0,0
1682453225044,1160,secondConfigRequest,200,OK,secondConfig 2-1,text,false,"The operation lasted too long: It took 1 160 milliseconds, but should not have lasted longer than 1 000 milliseconds.",231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=2,1160,0,0
1682453226537,911,secondConfigRequest,200,OK,secondConfig 2-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=2,911,0,0
1682453226537,913,firstConfigRequest,200,OK,firstConfig 1-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=1,913,0,0
1682453226540,916,thirdConfigRequest,200,OK,thirdConfig 3-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=3,916,0,0
1682453228036,916,firstConfigRequest,200,OK,firstConfig 1-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=1,916,0,0
1682453228039,913,secondConfigRequest,200,OK,secondConfig 2-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=2,913,0,0
1682453228040,915,thirdConfigRequest,200,OK,thirdConfig 3-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=3,915,0,0
1682453229536,916,firstConfigRequest,200,OK,firstConfig 1-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=1,916,0,0
1682453229536,916,secondConfigRequest,200,OK,secondConfig 2-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=2,916,0,0
1682453229539,917,thirdConfigRequest,200,OK,thirdConfig 3-1,text,true,,231,155,1,3,http://localhost:8083/?token=490614703&user=2080841592&conf=3,917,0,0
